journalTitle,jcrYear,jif,category,edition,source,url
Information Fusion,2024,15.4,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Information Fusion,2025,15.5,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2018,5.55,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2019,6.131,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2020,7.99,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2021,10.282,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2022,14.324,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2023,16.6,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2024,23.8,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ACM Computing Surveys,2025,28,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2018,7.451,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2019,7.602,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2020,11.35,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2021,12.551,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2022,15.204,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2023,14.9,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2024,9.4,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Signal Processing Magazine,2025,9.6,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2018,4.932,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2019,9.659,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2020,13,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2021,8.225,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2022,13.925,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2023,14.6,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2024,14.5,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Geoscience and Remote Sensing Magazine,2025,16.4,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2018,3.034,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2019,3.574,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2020,6.628,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2021,9.088,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2022,14.05,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2023,14.4,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2024,5.1,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Artificial Intelligence,2025,4.6,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2018,8.124,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2019,8.508,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2020,11.169,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2021,11.554,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2022,16.497,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2023,14.3,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2024,11.7,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Evolutionary Computation,2025,12,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2018,6.457,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2019,8.218,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2020,9.085,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2021,10.164,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2022,13.85,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2023,13.5,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2024,11.1,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Remote Sensing of Environment,2025,11.4,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2018,5.994,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2019,6.942,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2020,7.319,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2021,8.979,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2022,11.774,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2023,12.7,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2024,10,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
ISPRS Journal of Photogrammetry and Remote Sensing,2025,12.2,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2018,8.415,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2019,8.759,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2020,9.518,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2021,12.029,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2022,12.253,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2023,11.9,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2024,10.7,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Fuzzy Systems,2025,11.9,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2018,8.803,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2019,10.387,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2020,11.079,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2021,11.448,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2022,19.118,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2023,11.8,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2024,9.4,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Cybernetics,2025,10.5,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2018,9.504,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2019,9.58,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2020,9.412,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2021,11.205,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2022,12.779,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2023,11.1,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2024,9.4,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Proceedings of the National Academy of Sciences,2025,9.1,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2018,4.585,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2019,6.288,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2020,7.512,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2021,10.506,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2022,13.99,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2023,11.2,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2024,9.6,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Affective Computing,2025,9.8,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Research,2022,11.036,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Research,2023,11,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Research,2024,8,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Research,2025,10.7,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2018,6.131,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2019,7.816,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2020,6.685,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2021,10.048,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2022,11.037,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2023,10.6,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2024,8.9,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Medical Imaging,2025,9.8,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2018,5.071,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2019,6.79,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2020,9.34,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2021,10.856,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2022,11.041,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2023,10.6,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2024,10.8,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Image Processing,2025,13.7,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2018,7.982,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2019,11.683,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2020,8.793,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2021,10.451,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2022,14.255,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2023,10.4,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2024,10.2,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Neural Networks and Learning Systems,2025,8.9,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2018,3.818,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2019,6.33,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2020,6.912,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2021,7.177,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2022,10.267,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2023,10,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2024,8.2,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Swarm and Evolutionary Computation,2025,8.5,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2018,6.611,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2019,5.857,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2020,9.083,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2021,11.356,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2022,9.809,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2023,9,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2024,10.3,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Computational Intelligence Magazine,2025,11.2,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2018,2.775,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2019,3.857,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2020,4.935,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2021,6.977,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2022,9.235,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2023,8.9,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2024,8.9,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Knowledge and Data Engineering,2025,10.4,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2018,4.396,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2019,5.101,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2020,5.921,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2021,8.038,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2022,8.139,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2023,8.8,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2024,7.2,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Knowledge-Based Systems,2025,7.6,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2018,5.131,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2019,7.351,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2020,9.309,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2021,13.451,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2022,11.471,常投期刊清单,2022 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2023,8.7,常投期刊清单,2023 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2024,8.6,常投期刊清单,2024 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
IEEE Transactions on Systems Man Cybernetics-Systems,2025,8.7,常投期刊清单,2025 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Applied Soft Computing,2018,3.907,常投期刊清单,2018 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Applied Soft Computing,2019,4.873,常投期刊清单,2019 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Applied Soft Computing,2020,5.472,常投期刊清单,2020 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
Applied Soft Computing,2021,6.725,常投期刊清单,2021 JCR authorized import,用户授权 JCR 导入,https://jcr.clarivate.com/jcr/home
